"team","avg_ppg","avg_rpg","avg_apg","fg_percentage","steals_blocks","twenty_plus_ppg_players","offensive_rank"
"DEN","582.5","220.6","149.5","46.7%","38.6 / 23.6","17","1"
"BOS","529.7","206.4","119.1","42.3%","32.7 / 25.1","17","2"
"HOU","520.7","220.8","106.3","46.5%","38.3 / 22.8","16","3"
"OKC","520.1","193.3","115.9","45.7%","44.6 / 24.5","17","4"
"ORL","508.5","201.8","111.0","41.4%","42.9 / 28.7","16","5"
"POR","478.6","193.2","102.7","43.1%","35.7 / 22.8","15","6"
"CLE","476.1","177.3","109.7","45.1%","31.9 / 16.7","19","7"
"MEM","475.2","184.5","111.0","42.9%","34.6 / 22.0","19","8"
"MIN","468.6","181.7","107.1","43.0%","32.7 / 20.3","13","9"
"PHO","465.9","174.2","113.9","45.8%","29.7 / 19.6","18","10"
